bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs
Katapult,katapult.nl,geraden en bevestigd,Customer Solutions Manager,2026-09-18,Amsterdam Area,4,nee,https://nl.linkedin.com/jobs/view/customer-solutions-manager-at-katapult-4467875628,klantcontact,ok,,,,,loox,,,0,api[- ]documen,,1012 TL,+31617157603,,ja
Kavel 10 | hetbestebeeld.nl,kavel10.nl,geraden en bevestigd,Customer Success,2026-09-07,Drachten,1,nee,https://nl.linkedin.com/jobs/view/customer-success-at-kavel-10-hetbestebeeld-nl-4464388815,klantcontact,ok,,,,,,,,0,veiling,,9206 AE,+31512570071,,
KBITE,kbite.nl,geraden en bevestigd,Commercieel Medewerker (32-40 uur),2026-07-15,'s-Gravenzande,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-32-40-uur-at-kbite-4438071939,online sales medewerker,ok,,,,,,,,0,,,2693 BD,0031174415541,,
KellyDeli,kellydeli.com,geraden en bevestigd,Regional Manager,2026-09-09,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/regional-manager-at-kellydeli-4462598970,klantcontact,ok,,,,,,,,0,,,,,,
Kenter,kenter.nl,geraden en bevestigd,Technisch Contractmanager (West Nederland),2026-09-06,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/technisch-contractmanager-west-nederland-at-kenter-4433701615,klantcontact,ok,,,,,,,,0,,,7471 BV,0031547275005,,
Keylane,keylane.com,geraden en bevestigd,Customer Success Specialist,2026-06-19,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-keylane-4440544055,klantcontact,ok,,,4,,,,,0,api[- ]documen,,3584 BW,,,ja
KH Chemicals,khchemicals.com,geraden en bevestigd,Customer Service &amp; Logistics Employee,2026-08-05,Zwijndrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-service-logistics-employee-at-kh-chemicals-4449640229,klantcontact,ok,,,,,,,,0,,,2026 KH,+31856255255,,
Kia Nederland,kia.com,geraden en bevestigd,Projectmanager CRM Operations,2026-09-02,Breukelen,1,nee,https://nl.linkedin.com/jobs/view/projectmanager-crm-operations-at-kia-nederland-4462150334,customer journey specialist,ok,,,21,chatgpt-bot,,,,0,,,,,,
Kids2,kids2.com,geraden en bevestigd,Associate Category &amp; Product Manager,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/associate-category-product-manager-at-kids2-4455453328,brand manager webshop,onbereikbaar,,,,,,,,,,,,,,
Kinwell,kinwell.nl,geraden en bevestigd,Accountmanager,2026-09-08,Heerhugowaard,1,nee,https://nl.linkedin.com/jobs/view/accountmanager-at-kinwell-4463237813,klantcontact,ok,,,,intercom|hubspot,,,,0,,,9351 VN,0031882588588,,
Klarna,klarna.com,geraden en bevestigd,Business Development Associate,2026-08-26,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/business-development-associate-at-klarna-4459305392,klantcontact,ok,,,,,trustpilot,,,4,,,,,,
Klaverblad Verzekeringen,klaverblad.nl,geraden en bevestigd,Accountmanager Volmacht,2026-09-09,Zoetermeer,1,nee,https://nl.linkedin.com/jobs/view/accountmanager-volmacht-at-klaverblad-verzekeringen-4454993548,klantcontact,ok,,,,,,,,0,,,2713 AW,,,
Kleentec,kleentec.nl,geraden en bevestigd,Verzuimcoach Landelijk,2026-09-22,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/verzuimcoach-landelijk-at-kleentec-4470435742,klantcontact,ok,,,,,,,,0,,,7463 PL,,,
KNAPP Benelux,knappbenelux.com,geraden en bevestigd,Service Manager,2026-09-02,Culemborg,1,nee,https://nl.linkedin.com/jobs/view/service-manager-at-knapp-benelux-4462180035,klantcontact,ok,,,,hubspot,,,ja,0,api[- ]documen,,6043 AK,,,ja
Kohler Co.,kohler-co.com,geraden en bevestigd,Channel Marketing Manager,2026-09-15,Barneveld,1,nee,https://nl.linkedin.com/jobs/view/channel-marketing-manager-at-kohler-co-4402935429,brand manager webshop,ok,,,,,,,,0,,,,,,
Koninklijke Ruig,ruig.nl,geraden en bevestigd,Productie Werkvoorbereider Assistent,2024-08-20,Oostzaan,1,nee,https://nl.linkedin.com/jobs/view/productie-werkvoorbereider-assistent-at-koninklijke-ruig-4005851388,retourverwerking,ok,woocommerce,,,,,ja,,0,api[- ]documen,34231436,1511 GE,,,
Kooi Camerabewaking,247kooi.com,geraden en bevestigd,Accountmanager,2026-09-10,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/accountmanager-at-kooi-camerabewaking-4444109171,klantcontact,ok,,,13,hubspot,trustpilot,,,0,,,9202 PA,+31882475615,,
Koskamp B.V.,koskamp.nl,geraden en bevestigd,Accountmanager (Regio midden-Nederland),2026-07-09,Lelystad,2,nee,https://nl.linkedin.com/jobs/view/accountmanager-regio-midden-nederland-at-koskamp-b-v-4435934022,klantcontact,ok,,,,hubspot|whatsapp,,,ja,1,,08147747,7683 PL,+31546673000,,
KPMG Nederland,kpmg.com,geraden en bevestigd,Dynamics 365 Customer Engagement Specialist,2026-09-20,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/dynamics-365-customer-engagement-specialist-at-kpmg-nederland-4366007743,customer journey specialist,ok,,,,chatgpt-bot,,,,0,,,,,,ja
"Krayden, Inc.",krayden.com,geraden en bevestigd,Magazijnmedewerker,2026-09-22,Assendelft,2,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-krayden-inc-4458213371,e-fulfilment medewerker,ok,,,,,,,,0,,,1566JN,+1800-448-0406,,
Kropman,kropman.nl,geraden en bevestigd,Servicecoördinator Techniek,2026-09-01,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/serviceco%C3%B6rdinator-techniek-at-kropman-4461539837,klantcontact,ok,,,,,,,,0,,,,+31883344000,,ja
Krunon Kunststof Producten B.V.,krunon.com,geraden en bevestigd,Productiemedewerker / Inpakker,2026-07-27,Volendam,1,nee,https://nl.linkedin.com/jobs/view/productiemedewerker-inpakker-at-krunon-kunststof-producten-b-v-4444856499,packaging medewerker webshop,ok,,,,whatsapp,,,,0,,60781289,3981 AK,0306991394,,
Kvadrat Shade,kvadratshade.nl,geraden en bevestigd,Meewerkend Voorman Logistiek,2026-09-21,Eibergen,1,nee,https://nl.linkedin.com/jobs/view/meewerkend-voorman-logistiek-at-kvadrat-shade-4469854845,voorraadbeheer webshop,ok,,,1,,,,,3,,,7151 HZ,0545464500(,,
Lab Associates B.V.,labassociates.com,geraden en bevestigd,Commercieel Medewerker Binnendienst / Customer Service Representative,2026-09-22,Oudenbosch,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-customer-service-representative-at-lab-associates-b-v-4460276697,online sales medewerker,ok,,,3,whatsapp,,,,0,,,4731 DD,+310165318616,,ja
Laboratorium Ofichem B.V.,laboratorium.nl,geraden en bevestigd,Magazijnmedewerker,2026-07-13,Ter Apel,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-laboratorium-ofichem-b-v-4440016582,e-fulfilment medewerker,ok,,,,,,,,0,,,7037 CK,,,
Lasaulec BV,lasaulec.nl,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-08-31,Almere,2,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-lasaulec-bv-4460058994,online sales medewerker,ok,,,,,,ja,ja,0,,,,,,
Lavastica International B.V.,lavastica.com,geraden en bevestigd,Vertegenwoordiger binnendienst,2026-08-11,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/vertegenwoordiger-binnendienst-at-lavastica-international-b-v-4430922775,online sales medewerker,ok,woocommerce,,,,,ja,,0,api[- ]documen,,3047 AT,0031102655070,,
Leaseweb,leaseweb.com,geraden en bevestigd,Agile Team Manager - VMware Cloud,2026-09-11,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/agile-team-manager-vmware-cloud-at-leaseweb-4378818076,webcare,ok,,,,,,,,0,,,,,,
LHS by Spot Group,lhs.be,geraden en bevestigd,CONTENT MARKETEER,2026-09-12,Volendam,1,nee,https://nl.linkedin.com/jobs/view/content-marketeer-at-lhs-global-4464280141,content specialist webshop,ok,,,,,,,,0,,,,+3215690515,,
Liffery,liffery.com,geraden en bevestigd,Sales,2026-08-04,Lelystad,1,nee,https://nl.linkedin.com/jobs/view/sales-at-liffery-4449067702,online sales medewerker,ok,,,,,,,,0,,,,,,
Livit Ottobock Care,livit.nl,geraden en bevestigd,IT Operations Coördinator 32-40 uur,2026-09-07,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/it-operations-co%C3%B6rdinator-32-40-uur-at-livit-ottobock-care-4464344805,webcare,ok,,,,freshdesk,,,,3,,33270688,3313 CS,(088) 245 20 00,,
LMW,mooiedomeinnaam.nl,geraden en bevestigd,Medewerker Support,2026-07-10,Breukelen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-support-at-lmw-4439020724,klantenservice medewerker,ok,,,,whatsapp,,ja,,0,onze dienstver,,3353HC,+31888777555,,ja
Logitech,logitech.nl,geraden en bevestigd,EU eTail TikTok Shop Focus - Channel Manager,2026-09-10,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/eu-etail-tiktok-shop-focus-channel-manager-at-logitech-4456460455,brand manager webshop,ok,,,,,,,,0,,,3972 NG,+31306911977,,
Loop Earplugs,loopearplugs.com,geraden en bevestigd,VP Brand &amp; Marketing,2026-09-04,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/vp-brand-marketing-at-loop-earplugs-4461157740,brand manager webshop,onbereikbaar,,,,,,,,,,,,,,
Loopper.com,loopper.com,geraden en bevestigd,Sales Binnendienst / Junior Accountmanager,2026-09-16,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/sales-binnendienst-junior-accountmanager-at-loopper-com-4468204148,orderpicker webshop,ok,,,15,,trustpilot|kiyoh,ja,ja,0,,,,+44 20 4576 5960,"1,281",
LouwersHanique,louwershanique.com,geraden en bevestigd,Magazijn Medewerker,2026-08-28,Hapert,1,nee,https://nl.linkedin.com/jobs/view/magazijn-medewerker-at-louwershanique-4458420714,magazijnmedewerker webshop,ok,,,4,,,,,0,,,5527 AH,+31497-339696,,
Louwman Group,louwman.nl,geraden en bevestigd,Online lead &amp; Sales specialist Den haag,2026-08-03,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/online-lead-sales-specialist-den-haag-at-louwman-group-4445896812,online sales medewerker,ok,,,,,,,,2,,,2941 BA,,,
Lumiforte,lumiforte.com,geraden en bevestigd,Specialist digitale marketing,2026-09-22,Baarle-Nassau,1,nee,https://nl.linkedin.com/jobs/view/specialist-digitale-marketing-at-lumiforte-4470279677,customer journey specialist,ok,,,,,,,,0,,,,+31 13 507 5399,,
MAG45,mag45.com,geraden en bevestigd,Senior Warehouse Employee,2026-09-11,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/senior-warehouse-employee-at-mag45-4464869794,e-fulfilment medewerker,ok,,,5,,,,,0,,,5651 GH,,,
Manutan,manutan.nl,geraden en bevestigd,Medewerker klantcontact,2026-08-20,Den Dolder,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantcontact-at-manutan-4456493465,online sales medewerker,ok,,,19,,trustpilot,,,3,,30053885,3734 CP,+31302296111,,ja
Marsh,marsh.com,geraden en bevestigd,Teamlead Operations (m/v/x),2026-09-17,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/teamlead-operations-m-v-x-at-marsh-4459177368,retourverwerking,ok,,,24,,,,,0,,,,,,
McFly & Brown,mcflybrown.com,geraden en bevestigd,Inside Sales,2026-09-11,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-at-mcfly-brown-4463946858,online sales medewerker,ok,,,,,,,,0,,,,,,
Mediahuis Nederland,mediahuis.nl,geraden en bevestigd,Marketeer Retentie &amp; Engagement,2026-09-02,Maastricht,1,nee,https://nl.linkedin.com/jobs/view/marketeer-retentie-engagement-at-mediahuis-nederland-4448404360,customer journey specialist,ok,,,2,,,,,1,,,,,,
Medipartner,medipartner.be,geraden en bevestigd,Customer Service Specialist,2026-09-22,Brussel en omgeving,1,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-at-medipartner-4468535491,klantenservice medewerker,ok,,,4,,,,,0,,,1024PX,023899720,,ja
MIREC B.V.,mirec.nl,geraden en bevestigd,Logistiek Medewerker Goederenontvangst,2026-05-20,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-goederenontvangst-at-mirec-b-v-4417308086,retourverwerking,ok,,,8,,,,,0,,17073024,5652 CV,3140250 88 00,,
Mobile Water,mobilewater.nl,geraden en bevestigd,Customer Innovation Specialist – Marketing &amp; Technology,2026-09-14,Breda,1,nee,https://nl.linkedin.com/jobs/view/customer-innovation-specialist-%E2%80%93-marketing-technology-at-mobile-water-4467056885,customer journey specialist,ok,woocommerce,,4,chatgpt-bot,,ja,,1,,52540979,4811 CA,0850607041,,ja
MoldBrothers,moldbrothers.com,geraden en bevestigd,Senior Marketeer / Head of Marketing,2026-08-20,Wijchen,1,nee,https://nl.linkedin.com/jobs/view/senior-marketeer-head-of-marketing-at-moldbrothers-4456702497,brand manager webshop,ok,,,13,,,,,0,api[- ]documen,,6603 BD,0031851051500,,
Mondial Relay,mondialrelay.nl,geraden en bevestigd,Senior Marketing Manager,2026-09-07,Vianen,1,nee,https://nl.linkedin.com/jobs/view/senior-marketing-manager-at-mondial-relay-4461864926,brand manager webshop,ok,,,7,hubspot,trustpilot,ja,,1,,,,,,
Morrison Express,morrisonexpress.com,geraden en bevestigd,Warehouse Operator (Loading),2026-08-31,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/warehouse-operator-loading-at-morrison-express-4451197240,e-fulfilment medewerker,ok,,,,,,,,0,,,,,,
Movares,movares.com,geraden en bevestigd,Projectleider Bodem,2026-09-04,Raalte,1,nee,https://nl.linkedin.com/jobs/view/projectleider-bodem-at-movares-4443877708,retourverwerking,ok,woocommerce,,,,,ja,,0,,,1058 EA,+31302655555,,
MSD Animal Health Nederland,msd-animal-health.nl,geraden en bevestigd,CRM &amp; Customer Engagement Specialist,2026-09-04,Boxmeer,2,nee,https://nl.linkedin.com/jobs/view/crm-customer-engagement-specialist-at-msd-animal-health-nederland-4463322073,customer journey specialist,ok,,,,,,,,0,,,,,,ja
MSD Nederland,msd.nl,geraden en bevestigd,CRM &amp; Customer Engagement Specialist,2026-09-21,Boxmeer,2,nee,https://nl.linkedin.com/jobs/view/crm-customer-engagement-specialist-at-msd-netherlands-4429223148,customer journey specialist,ok,,,,,,,,0,,,,,,ja
MyParcel,myparcel.nl,geraden en bevestigd,Customer Solutions Manager,2026-09-15,Hoofddorp,2,nee,https://nl.linkedin.com/jobs/view/customer-solutions-manager-at-myparcel-4467493526,orderpicker webshop,ok,woocommerce,,2,whatsapp,trustpilot,ja,,1,api[- ]documen,,0000FF,,,ja
Nederlands Krediet Collectief,nederlandskredietcollectief.nl,geraden en bevestigd,Kredietspecialist,2026-09-10,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/kredietspecialist-at-nederlands-krediet-collectief-4465622911,klantcontact,ok,,,,,klantenvertellen,,,0,,,2495 AS,0857608989,,
Nefab,nefab.com,geraden en bevestigd,Productie Medewerker,2026-09-17,Son,2,nee,https://nl.linkedin.com/jobs/view/productie-medewerker-at-nefab-4468670058,packaging medewerker webshop,ok,,,24,hubspot,,,,0,,,,,,
Neonsfeer,neonsfeer.nl,geraden en bevestigd,Email Marketeer / Klaviyo Specialist,2026-08-24,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/email-marketeer-klaviyo-specialist-at-neonsfeer-4455758899,customer journey specialist,onbereikbaar,,,,,,,,,,,,,,
Netcompany,netcompany.com,geraden en bevestigd,Medior Software Engineer / Consultant (Nederlands sprekend),2026-09-22,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/medior-software-engineer-consultant-nederlands-sprekend-at-netcompany-4459526290,webcare,ok,,,,,,,,0,,,,,,
Netwerk,netwerk.be,geraden en bevestigd,Sales support medewerker (key accounts),2026-05-27,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-key-accounts-at-netwerk-nv-4419595965,support medewerker webshop,ok,,,,,,,,0,,,,,,ja
Next Force,next-force.nl,geraden en bevestigd,IT Support - Microsoft,2026-09-15,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/it-support-microsoft-at-next-force-recruitment-4466549368,webcare,ok,,,3,,,,,0,,,,,,
NextEnergy,nextenergy.nl,geraden en bevestigd,Lead Incasso,2026-06-17,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/lead-incasso-at-nextenergy-4429787993,retourverwerking,ok,,,,zendesk|hubspot,trustpilot|kiyoh,,,0,,,,0302035800,,
NIBHV,nibhv.nl,geraden en bevestigd,Medewerker Verkoop &amp; Advies,2026-07-25,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoop-advies-at-nibhv-4440532018,online sales medewerker,ok,woocommerce,,,hubspot,,ja,,1,api[- ]documen,,3067 GJ,+31102892888,,
Nmbrs,nmbrs.com,geraden en bevestigd,Product Marketer,2026-09-17,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/product-marketer-at-nmbrs-4467192369,customer journey specialist,ok,,,,hubspot,,,,0,demo aanvragen|saas|api[- ]documen,,,,,
Nobel Biocare,nobel-biocare.com,geraden en bevestigd,Warehouse Employee,2026-09-14,Venlo,1,nee,https://nl.linkedin.com/jobs/view/warehouse-employee-at-nobel-biocare-4465232057,e-fulfilment medewerker,ok,,,,,,,,0,,,,,,
NOV,vrijwilligerswerk.nl,geraden en bevestigd,Allround Warehousemedewerker,2026-09-21,Etten-Leur,2,nee,https://nl.linkedin.com/jobs/view/allround-warehousemedewerker-at-nov-4469930307,retourverwerking,ok,,,,,,,,0,,30126706,3561 GE,0302307195,,
Novaware,novaware.nl,geraden en bevestigd,Medior .NET Developer,2026-05-24,Zwolle,2,nee,https://nl.linkedin.com/jobs/view/medior-net-developer-at-novaware-4414869793,webcare,ok,,,2,,,,,0,api[- ]documen,63590956,8041 AM,+31387114440,,
nVent,nvent.com,geraden en bevestigd,Logistics Material Handler,2026-09-08,Drachten,1,nee,https://nl.linkedin.com/jobs/view/logistics-material-handler-at-nvent-4455324291,retourverwerking,ok,,,145,,,,,0,,,,,,
NVM,nvm.nl,geraden en bevestigd,CX Marketeer - NVM,2026-09-21,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/cx-marketeer-nvm-at-nvm-4469931139,customer journey specialist,ok,,,,,,,,0,veiling,,3528 BE,,,
o2o Bicycle Leasing,o2o.be,geraden en bevestigd,Customer Support Expert,2026-08-11,"Vilvoorde, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-expert-at-o2o-bicycle-leasing-4453109396,klantenservice medewerker,ok,,,3,intercom|hubspot|chatgpt-bot,trustpilot,,,0,,,,+3292964012,,
Olenex,olenex.com,geraden en bevestigd,Verpakkingsoperator,2026-09-07,Zaandam,1,nee,https://nl.linkedin.com/jobs/view/verpakkingsoperator-at-olenex-4454634460,packaging medewerker webshop,ok,,,,,,,,0,,,,,,
Omoda & Jaecoo Nederland,omodajaecoo.nl,geraden en bevestigd,CRM Specialist - Netherlands Region,2026-08-31,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/crm-specialist-netherlands-region-at-omoda-jaecoo-nederland-4460030668,customer journey specialist,ok,,,,,,,,1,,,,,,
Online Makelaar,onlinemakelaar.nl,geraden en bevestigd,Sales Specialist,2026-07-27,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/sales-specialist-at-online-makelaar-4445964165,online sales medewerker,ok,,,3,,,,,0,,,,,,
OPACKGROUP,opackgroup.com,geraden en bevestigd,359-Productie medewerker Wikkel,2026-09-16,Genderen,4,nee,https://nl.linkedin.com/jobs/view/359-productie-medewerker-wikkel-at-opackgroup-4468244041,packaging medewerker webshop,ok,,,3,,,,,0,,,4265 GB,0031416358100,,
Orange Gaming,orangegaming.nl,geraden en bevestigd,CRM Strategist,2026-06-11,Randstad,1,nee,https://nl.linkedin.com/jobs/view/crm-strategist-at-orange-gaming-4427505912,customer journey specialist,ok,,,4,,,,,0,api[- ]documen,,2132HA,,,
Panda International,panda.nl,geraden en bevestigd,Logistics Associate (Warehouse),2026-08-27,Sittard-Geleen,1,nee,https://nl.linkedin.com/jobs/view/logistics-associate-warehouse-at-panda-international-4459677395,e-fulfilment medewerker,ok,,,,,,,,0,,99456117,3312 KW,+31648451094,,
PaperClip Cards,paperclipcards.com,geraden en bevestigd,Accountmanager,2026-09-18,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/accountmanager-at-paperclip-cards-4468201363,klantcontact,onbereikbaar,,,,,,,,,,,,,,
Parenco B.V.,smurfitkappa.com,geraden en bevestigd,Proces­­operator Pulp &amp; Energie afd. Pulp,2026-08-07,Renkum,1,nee,https://nl.linkedin.com/jobs/view/proces%C2%AD%C2%ADoperator-pulp-energie-afd-pulp-at-smurfit-westrock-parenco-4450069205,retourverwerking,ok,,,,,,,,0,,,,,,
PeterPrint,peterprint.nl,geraden en bevestigd,Tech Lead (lead developer),2026-09-15,Groningen,1,nee,https://nl.linkedin.com/jobs/view/tech-lead-lead-developer-at-peterprint-4465258198,orderpicker webshop,ok,magento,,2,,feedbackcompany,ja,,1,,,,+31882211500,,
Philips,philips.nl,geraden en bevestigd,Logistiek Medewerker &amp; Warehouse Coördinator 7T MR,2026-09-02,Best,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-warehouse-co%C3%B6rdinator-7t-mr-at-philips-4460983149,e-fulfilment medewerker,ok,,,,,,ja,ja,2,,,,,,
Phone Assistant AI - Bubo,phoneassistant.com,geraden en bevestigd,Sales Executive,2026-09-05,Haaksbergen,1,nee,https://nl.linkedin.com/jobs/view/sales-executive-at-phone-assistant-ai-bubo-4463769721,online sales medewerker,ok,,,,,,,,0,,,,,,
Piaggio Vespa B.V.,piaggio-vespa.nl,geraden en bevestigd,Marketingmanager,2026-08-28,Breda,1,nee,https://nl.linkedin.com/jobs/view/marketingmanager-at-piaggio-vespa-b-v-4460190990,brand manager webshop,ok,,,2,,,ja,,0,,,,,,
PLAN ZZP,planzzp.nl,geraden en bevestigd,Front-end-developer,2026-09-01,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-plan-zzp-4461743870,webcare,ok,,,,whatsapp,,,,0,,91271584,,0031617806220,,
PlaytoWork,playtowork.nl,geraden en bevestigd,Technician,2026-08-30,Oss,1,nee,https://nl.linkedin.com/jobs/view/technician-at-playtowork-4458837609,webcare,ok,,,,whatsapp,,,,1,,,1043 BZ,,,
Postcode Loterij,postcodeloterij.nl,geraden en bevestigd,Senior Retentie Marketeer Postcode Loterij,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/senior-retentie-marketeer-postcode-loterij-at-postcode-loterij-4455752375,customer journey specialist,ok,,,,,,,,0,,,2406 JT,,,
Prado Family,pradofamily.com,geraden en bevestigd,inside sales associate Amsterdam,2026-07-29,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-associate-amsterdam-at-prado-family-4446555325,online sales medewerker,ok,,,,,,,,0,api[- ]documen,,,,,
Pricewise,pricewise.nl,geraden en bevestigd,CRM &amp; Customer Data Specialist,2026-09-11,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/crm-customer-data-specialist-at-pricewise-4464887401,customer journey specialist,ok,,,,chatgpt-bot,trustpilot,ja,,0,,,1043 AJ,,,ja
Probo.nl,probo.nl,geraden en bevestigd,Productiemedewerker,2026-08-20,Dokkum,2,nee,https://nl.linkedin.com/jobs/view/productiemedewerker-at-probo-nl-4456771854,packaging medewerker webshop,ok,magento,,,trengo,,ja,,2,,,,,,
Prodrive Technologies,prodrive-technologies.com,geraden en bevestigd,Commercial Excellence Specialist,2026-09-05,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/commercial-excellence-specialist-at-prodrive-technologies-4444941044,customer journey specialist,ok,,,,,,,,0,,,,,,
Projectcolor BV,projectcolor.nl,geraden en bevestigd,Orderbegeleider,2025-05-08,Hoofddorp,1,nee,https://nl.linkedin.com/jobs/view/orderbegeleider-at-projectcolor-bv-4226162604,klantcontact,ok,,,,,,,,0,,,2131 HE,,,
Prominent,prominent.nl,geraden en bevestigd,Marketing Automation Specialist,2026-09-05,Nunspeet,1,nee,https://nl.linkedin.com/jobs/view/marketing-automation-specialist-at-prominent-comfortproducten-bv-4441480549,customer journey specialist,ok,,,,,,,,0,,,,+31306779280,,
Purson,purson.be,geraden en bevestigd,Customer Service Officer,2026-09-07,"Tessenderlo, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-purson-4464350886,klantenservice medewerker,ok,,,3,,,,,0,,,,+3233449910,,
Quality,quality.nl,geraden en bevestigd,Network Security Engineer,2026-09-21,Capelle aan den IJssel,1,nee,https://nl.linkedin.com/jobs/view/network-security-engineer-at-quality-4417664230,webcare,ok,,,,whatsapp,,,,0,,,2908 ME,0031107142531,,
QWIC,qwic.nl,geraden en bevestigd,Head of IT,2026-09-18,Amsterdam,1,ja,https://nl.linkedin.com/jobs/view/head-of-it-at-qwic-4469154053,webcare,ok,,,,,,,,0,,71933891,2021 AD,,,
Raben Netherlands,raben.com,geraden en bevestigd,Inside Sales - Commercieel medewerker,2026-09-15,Hazerswoude Dorp,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-commercieel-medewerker-at-raben-netherlands-4465572598,online sales medewerker,ok,,,,,,,,0,,,,,,
Raycruiting,raycruiting.nl,geraden en bevestigd,Productiemedewerker Houten Verpakkingen,2026-08-26,Stadskanaal,4,nee,https://nl.linkedin.com/jobs/view/productiemedewerker-houten-verpakkingen-at-raycruiting-4457974699,packaging medewerker webshop,ok,,,,whatsapp,,,,0,,98047159,7811 KZ,+31628242820,,
Razer,razer.com,geraden en bevestigd,Category Manager – Lifestyle and Content Creation,2026-07-06,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/category-manager-%E2%80%93-lifestyle-and-content-creation-at-razer-4423515568,brand manager webshop,ok,,,44,,,,,0,api[- ]documen,,,,,
Reckitt,reckitt.com,geraden en bevestigd,Global Business Process Owner - Manufacturing Data Platform,2026-09-13,Schiphol,1,nee,https://nl.linkedin.com/jobs/view/global-business-process-owner-manufacturing-data-platform-at-reckitt-4430961968,retourverwerking,ok,,,,,,,,0,,,,,,
RECO,reco.nl,geraden en bevestigd,Logistiek Medewerker,2026-08-17,Koudekerk aan de Rijn,2,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-reco-4455291017,retourverwerking,ok,,,,,trustpilot,,,0,api[- ]documen,70525730,2031 BB,,,
Refresco,refresco.nl,geraden en bevestigd,SAP EWM Consultant,2026-09-02,Rotterdam,2,nee,https://nl.linkedin.com/jobs/view/sap-ewm-consultant-at-refresco-4440468841,retourverwerking,ok,,,1,,,,,0,api[- ]documen,,,,,
ReintenInfra B.V.,reinteninfra.nl,geraden en bevestigd,Weger/Menger,2026-04-01,Hengelo,3,nee,https://nl.linkedin.com/jobs/view/weger-menger-at-reinteninfra-b-v-4394925602,retourverwerking,ok,,,,,,,,0,,,7621 BA,,,
Remeha,remeha.nl,geraden en bevestigd,Customer Support Specialist,2026-09-11,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-remeha-4466088520,retourverwerking,ok,,,,,,,ja,0,,,,,,ja
