bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,kvk,postcode,telefoon,reviewaantal
VolkerWessels Infra Digital,volkerwessels.com,geraden en bevestigd,Servicedeskmedewerker,2026-07-08,Vianen,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-at-volkerwessels-infra-digital-4437066756,webcare medewerker,ok,,,2,,,,,,7461 BA,,
Vondel Hotels,vondelhotels.com,geraden en bevestigd,Medewerker Bediening,2026-06-04,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-at-vondel-hotels-4423376761,webcare medewerker,ok,,,3,,,,,,1096 AH,0031205150453,
Voordeeluitjes,voordeeluitjes.nl,geraden en bevestigd,Klantenservicemedewerker Voordeeluitjes.nl,2026-07-21,Deventer,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-voordeeluitjes-nl-at-voordeeluitjes-nl-4442996961,klantenservice medewerker,ok,,,,trengo,kiyoh,,,,,,
Vulpes Goods,vulpesgoods.com,geraden en bevestigd,Customer Experience Specialist,2026-08-25,Bunnik,1,ja,https://nl.linkedin.com/jobs/view/customer-experience-specialist-at-vulpes-goods-4458599796,customer happiness,ok,woocommerce,,,whatsapp,trustpilot|trustedshops,ja,,,3981 PC,+31 85 004 1705,
Waldom,waldom.com,geraden en bevestigd,Customer Experience Specialist - German Speaking,2026-09-21,Amsterdam Area,2,nee,https://nl.linkedin.com/jobs/view/customer-experience-specialist-german-speaking-at-waldom-4467556585,customer happiness,ok,,,12,zendesk|hubspot|livechat,,,,,,,
Webgrade,webgrade.nl,geraden en bevestigd,WordPress Developer,2026-08-12,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/wordpress-developer-at-webgrade-4450196396,webcare medewerker,ok,,,,,,,,72024089,2514 JK,0850655336,
Webstijl B.V.,webstijl.nl,geraden en bevestigd,Traineeship/junior medewerker online marketing bij Webstijl,2026-07-03,Alphen aan den Rijn,1,nee,https://nl.linkedin.com/jobs/view/traineeship-junior-medewerker-online-marketing-bij-webstijl-at-webstijl-b-v-4436904592,webcare medewerker,ok,,,3,,feedbackcompany,,,28084080,2408 AN,+31172236655,
Weeztix,weeztix.com,geraden en bevestigd,Customer Succes Manager Cashless,2026-08-19,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-manager-cashless-at-weeztix-4456157968,customer happiness,ok,,,13,intercom,trustpilot|kiyoh,,,,1062 XK,0031858883007,
Weight Doctors,weight-doctors.nl,geraden en bevestigd,Patiënten Coördinator / Receptioniste / Medisch Assistent(e),2026-09-18,Waalre,1,nee,https://nl.linkedin.com/jobs/view/pati%C3%ABnten-co%C3%B6rdinator-receptioniste-medisch-assistent-e-at-weight-doctors-4466633992,webcare medewerker,ok,,,7,,,,,,5581 WG,+31 85 208 777 0,
Werken in Gelderland,werkeningelderland.nl,geraden en bevestigd,Web- en contentspecialist,2026-09-17,Zwolle,2,nee,https://nl.linkedin.com/jobs/view/web-en-contentspecialist-at-werken-in-gelderland-4467543315,webcare medewerker,ok,,,,,,,,,6511PS,+31650072786,
WestCord Hotels,westcordhotels.nl,geraden en bevestigd,Medewerker Bediening Fulltime,2026-09-14,Groningen,6,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-fulltime-at-westcord-hotels-4464799747,webcare medewerker,ok,woocommerce,,4,,,ja,,,,,
Whitevision,whitevision.com,geraden en bevestigd,"Service Medewerker, €3.000 - €3.500 | Rotterdam/Zoetermeer",2026-08-06,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/service-medewerker-%E2%82%AC3-000-%E2%82%AC3-500-rotterdam-zoetermeer-at-whitevision-4448820634,webcare medewerker,ok,,,4,hubspot,,,ja,,4822 NK,+31765607820,
Workiva,workiva.com,geraden en bevestigd,Customer Success Manager - German Speaking,2026-09-14,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-german-speaking-at-workiva-4465763814,customer happiness,ok,,,14,,,,,,,,
WorkplaceBuddy,workplacebuddy.com,geraden en bevestigd,Customer Success Manager (Dutch speaking),2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-dutch-speaking-at-workplacebuddy-4469867784,customer happiness,ok,,,2,,,,,,,,
WP Masters,wpmasters.nl,geraden en bevestigd,SEO Specialist (junior),2026-08-05,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/seo-specialist-junior-at-wp-masters-4448906732,webcare medewerker,ok,,,,,,,,62185160,1062 XK,020 30 38 740,
WP SEO AI,wpseoai.com,geraden en bevestigd,Wordpress Developer (German/Dutch Speaking),2026-08-31,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/wordpress-developer-german-dutch-speaking-at-wp-seo-ai-4461201969,webcare medewerker,ok,,,5,,trustpilot,,,,9578FF,,
You Sure,yousure.nl,geraden en bevestigd,Customer Support Medewerker,2026-09-20,Hoofddorp,2,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-you-sure-4372512433,klantenservice medewerker,ok,,,,,,,,,1234 AB,+31854891775,
Zelesta,zelesta.nl,geraden en bevestigd,E-commerce Specialist,2026-09-21,Soesterberg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-at-zelesta-4469874193,webcare medewerker,ok,shopify,768,27,,trustpilot|judgeme,ja,,,,,
Zimmer Biomet,zimmerbiomet.com,geraden en bevestigd,Customer Experience - Local Strategic Partner,2026-09-10,Breda,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-local-strategic-partner-at-zimmer-biomet-4454995782,customer happiness,ok,,,,,,,,,,1-800-348-2759,
Zitmaxx Wonen,zitmaxx.nl,geraden en bevestigd,Medewerker Productcontent en Prijsbeheer,2026-08-20,Ter Aar,2,nee,https://nl.linkedin.com/jobs/view/medewerker-productcontent-en-prijsbeheer-at-zitmaxx-wonen-4457013131,webcare medewerker,ok,magento,,,tawk|whatsapp,trustpilot,ja,,59200359,2461 EX,,
Zonneplan,zonneplan.nl,geraden en bevestigd,Customer Support Specialist,2026-09-15,Zwolle,2,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-zonneplan-4324809529,klantenservice medewerker,ok,,,,,feedbackcompany|klantenvertellen,,,56968329,8021 EV,088 020 3011,
Zorg en Zekerheid,zorgenzekerheid.nl,geraden en bevestigd,Senior (Lead) Front-end Developer,2026-08-31,Leiden,1,nee,https://nl.linkedin.com/jobs/view/senior-lead-front-end-developer-at-zorg-en-zekerheid-4460030095,webcare medewerker,ok,,,,,,,,,,,
Zorg+Welzijn,zorgwelzijn.nl,geraden en bevestigd,Huiskamer medewerker | PG,2026-07-24,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/huiskamer-medewerker-pg-at-zorg%2Bwelzijn-4444975815,webcare medewerker,ok,woocommerce,,,,,ja,,,3584 BW,0306383736,
ZwolleDoet!,zwolledoet.nl,geraden en bevestigd,Webredacteur voor IVN Zwolle,2026-09-13,Zwolle,1,nee,https://nl.linkedin.com/jobs/view/webredacteur-voor-ivn-zwolle-at-zwolledoet%21-4466765993,webcare medewerker,ok,,,,whatsapp,,,,,,(038) 422 52 00,
